text,Social progress,Uncertainty and speculation,Women's sports recognition,Gender stereotypes,Social change,Gender roles evolution,Prejudice and discrimination,Sports diversity,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
We are starting to see more women in certain sports known for men.,,,1,1,,1,,,France,Woman,Gymnastics,55-65,Gymnastics,155459275
Because we evolve,,,,,1,,,,France,Woman,Football,55-65,Football,155459553
You discuss more and are more open,1,,,,,,,,Sweden,Woman,Football,45-54,Football,155471546
"Yes, I have no idea",,1,,,,,,,Sweden,Woman,Football,25-34,Football,155471699
Women's sport is still in the background,,,1,,,,,,Germany,Woman,Unstated,35-44,,155486829
Football,,,,,,,,,Germany,Man,Tennis,18-24,Tennis,155488667
It evened out more,,,,,,,,,Poland,Man,Volleyball,55-65,Volleyball,155495381
"Just a few years ago, there were attempts to make men and women compete together.",,,,,,,,,Poland,Man,Gymnastics,25-34,Gymnastics,155495447
because this is an increasingly discussed topic,,,,,,,,,Poland,Man,Tennis,55-65,Tennis,155496389
Greater awareness,,,,,,,,,Poland,Woman,Tennis,35-44,Tennis,155500346
Because it is being seen that there are more sports where women are,,,1,1,,1,,,Spain,Woman,Gymnastics,55-65,Gymnastics,155531529
more women can play men's sports,,,1,,,,,,France,Woman,Unstated,55-65,,155542072
Because it has changed mentalities have changed,1,,,,1,,1,,France,Woman,Handball,25-34,Handball,155542112
I would say a little less inclusive because the political correctness of the 50s is coming back,,,,,,,,,France,Woman,Football,35-44,Football,155542138
No,,1,,,,,,,France,Woman,Gymnastics,25-34,Gymnastics,155542243
"I think that in sport, and elsewhere, minds are starting to open, thanks to TV shows, such as drag queens, the government which is also paving the way towards difference, but there is still a lot to do.",,,,,,,,,France,Woman,Tennis,55-65,Tennis,155542655
Many inequalities,,,,,,,1,,Germany,Woman,Football,25-34,Football,155545514
Because diverse people are not allowed to fight against women or men depending on the sport! That is not fair! They should fight among themselves,,,,,,,,,Germany,Woman,Unstated,45-54,,155545775
There is more respect,1,,,,,,,,Poland,Woman,Gymnastics,55-65,Gymnastics,155545965
women practice sports that were once unavailable to them,,,1,,,,,,Poland,Woman,Gymnastics,55-65,Gymnastics,155546074
"Because people have been fighting for a long time to have women's football broadcast just like men's football, but nothing ever changes",,,1,,,,,,Germany,Woman,Gymnastics,18-24,Gymnastics,155546229
Through a wrong approach and analysis of the situation,,,,,,,1,,Poland,Woman,Tennis,18-24,Tennis,155546381
The statistics say it,,,,,,,,,Spain,I prefer not to say,Rugby,55-65,Rugby,155547974
Because the new generations are more tolerant,,,,,,,1,,Spain,Woman,Football,55-65,Football,155548342
Women's football has made the women's sport popular,,,1,,,,,,UK,Man,Tennis,35-44,Tennis,155548807
Because society evolves,1,,,,1,,,,France,Woman,Rugby,45-54,Rugby,155563913
Because there is only one genre that dominates,,,,,,,,,France,Woman,Volleyball,18-24,Volleyball,155564071
More professional sports regardless of gender,,,1,,,,,,Sweden,Woman,Gymnastics,55-65,Gymnastics,155564281
Quite a lot,,1,,,,,,,Sweden,Man,Rugby,25-34,Rugby,155564344
Men who claim to be women push women away,,,,1,,1,,,Sweden,Man,Unstated,45-54,,155564850
Not so easy to answer,,1,,,,,,,Sweden,Woman,Football,35-44,Football,155564981
It was a big topic,,,,,,,,,Germany,Woman,Football,35-44,Football,155589562
because there are very difficult constellations due to more and more genders,,,,1,,,,,Germany,Woman,Volleyball,55-65,Volleyball,155589904
Because it's about time,,,,,,,,,Germany,Woman,Football,18-24,Football,155589916
Because all sports sects are not important to everyone,,,,,,,,1,Sweden,Man,Cycling,35-44,Cycling,155590865
More accepted that women are involved,,,,,,1,,,Sweden,Woman,Unstated,25-34,,155590911
Good sometimes,,,,,,,,,Sweden,Woman,Basketball,35-44,Basketball,155590921
Because I see more women on TV on sports channels,,,1,1,,1,,,Poland,Man,Rugby,35-44,Rugby,155591125
I do not know anything,,1,,,,,,,Germany,Man,Cycling,25-34,Cycling,155592716
Because this world is not a good place,,,,,,,1,,Germany,Woman,Football,25-34,Football,155654410
It's starting to get better yes,1,,,,,,,,France,Woman,Football,45-54,Football,155654463
There are already several sports for women and men,,,1,,,,,,Germany,Man,Football,55-65,Football,155654517
More opportunities for all participants,,,,,,,,,UK,Man,Tennis,55-65,Tennis,155654542
Yes,,1,,,,,,,France,Woman,Gymnastics,45-54,Gymnastics,155654675
More space and appreciation,,,,,,,,,Poland,Woman,Tennis,45-54,Tennis,155654736
It's all political,,,,,,,,,UK,Woman,Tennis,55-65,Tennis,155654760
Because human rights defend gender equality,,,,,,,,,France,Woman,Athletics,35-44,Athletics,155654774
Is not it like that,,1,,,,,,,Sweden,Woman,Football,25-34,Football,155654851
So I experience it,,,,,,,,,Sweden,Man,Tennis,35-44,Tennis,155654865
Because mentalities are changing and women are much more involved in sport and show that they can perform as well as men,,,1,1,,1,,,France,Woman,Gymnastics,35-44,Gymnastics,155654969
We live surrounded by prejudices and discrimination at work,,,,,,,1,,Spain,Woman,Cycling,25-34,Cycling,155655079
you don't see men and girls playing together,,,,,,,,,Sweden,Man,Golf,18-24,Golf,155655085
I think so,,1,,,,,,,Poland,Woman,Golf,35-44,Golf,155655089
Too many transgender people and their wrong perception,,,,1,,,1,,Poland,Man,Gymnastics,25-34,Gymnastics,155655144
because the two genders are being distributed equally,,,,,,,,,Spain,Man,Handball,18-24,Handball,155655168
I think there is more equality,,,,,,,,,Spain,Man,Football,35-44,Football,155655188
Because it has normalized but there is still a little,,,,,,,,,Spain,Woman,Football,18-24,Football,155655198
Because the world is in revolution,,,,,1,,,,Spain,Woman,Golf,18-24,Golf,155655269
There are more women's teams,,,1,,,,,,Spain,Woman,Volleyball,55-65,Volleyball,155655288
Because people are trying like that,,,,,,,,,Spain,Woman,Gymnastics,35-44,Gymnastics,155655303
Because of discrimination,,,,,,,1,,Spain,I prefer not to say,Football,35-44,Football,155655330
Because they don't charge the same,,,,,,,,,Spain,Woman,Gymnastics,25-34,Gymnastics,155655345
Because society has advanced,1,,,,1,,,,Spain,Woman,Football,18-24,Football,155655358
It is becoming increasingly clear that there is less inclusion,1,,,,,,1,,Spain,Woman,Football,25-34,Football,155655375
Because they all go together,,,,,,,,,Spain,Woman,Football,55-65,Football,155655377
Why are there many homophobic people?,,,,,,,1,,Spain,Woman,Basketball,35-44,Basketball,155655378
Soccer,,,,,,,,1,Spain,I prefer not to say,Volleyball,35-44,Volleyball,155655379
we are all equal,,,,,,,,,Spain,Woman,Basketball,35-44,Basketball,155655399
Because that's my opinion,,,,,,,,,Poland,Woman,Gymnastics,25-34,Gymnastics,155655425
Basketball,,,,,,,,1,Spain,Man,Volleyball,25-34,Volleyball,155655434
"Because many things have changed, such as social norms and traditions, the pay and funding gap, and the lack of representation in management positions.",,,,,,,1,,France,Woman,Volleyball,25-34,Volleyball,155655603
there is equalization in women's and men's sports,,,,,,,,,Poland,Man,Athletics,55-65,Athletics,155655624
Because people have taken number of steps to control it,,,,,1,,,,UK,Man,Rugby,25-34,Rugby,155655747
More common,,,,,,,,,Sweden,Man,Cycling,18-24,Cycling,155655873
Because now many women are playing different sports,,,1,1,,1,,,Sweden,Man,Unstated,18-24,,155655877
It has become more accepted in society,1,,,,,,,,Sweden,Woman,Unstated,55-65,,155656058
because old men still have the say only when women are in leadership will things change,,,,1,,,,,Germany,Woman,Football,45-54,Football,155656337
tennis,,,,,,,,,Germany,Woman,Cycling,18-24,Cycling,155656742
Football,,,,,,,,,UK,Woman,Tennis,55-65,Tennis,155656900
There are more women/men clubs,,,1,,,,,,Germany,Woman,Tennis,35-44,Tennis,155657102
and low I map out fati,,,,,,,,,France,Man,Gymnastics,25-34,Gymnastics,155657224
There is more open mind,1,,,,,,1,,France,Man,Football,25-34,Football,155657354
It is supervised,,,,,,,,,Poland,Man,Handball,55-65,Handball,155657426
Because there were fewer rules in the past,,,,,,,,,Germany,Man,Golf,18-24,Golf,155657524
there is still some gender stereotyping in the way of it all which makes it unfair,,,,1,,,1,,UK,Woman,Football,18-24,Football,155657767
Yes,,1,,,,,,,Poland,Woman,Tennis,35-44,Tennis,155658274
Because of the gender madness,,,,1,,,,,Germany,Man,Cycling,45-54,Cycling,155659705
And at,,,,,,,,,Germany,Woman,Golf,45-54,Golf,155660439
More women play sport,,,1,,,1,,,UK,Woman,Football,55-65,Football,155661084
Dope,,,,,,,,,UK,Man,Football,18-24,Football,155661156
No idea,,1,,,,,,,Germany,Man,Football,25-34,Football,155667044
There was better,,,,,,,,,France,Man,Football,45-54,Football,155670548
Diversity in my teams,,,,,,,1,,France,Woman,Unstated,35-44,,155670553
Women are physically much weaker,,,,,,1,,,France,Man,Gymnastics,35-44,Gymnastics,155670567
There is more information on the subject,,1,,,,,,,France,Woman,Unstated,45-54,,155670629
I'll tell you,,1,,,,,,,France,Woman,Athletics,45-54,Athletics,155670661
Because it evolves,,,,,1,,,,France,Man,Rugby,45-54,Rugby,155670811
Rugby,,,,,,,,1,France,Man,Gymnastics,25-34,Gymnastics,155670833
because they have fought for it,,,,,,,,,Spain,Man,Basketball,55-65,Basketball,155671413
Better benefits,,,,,,,,,Sweden,Man,Golf,25-34,Golf,155671522
Racism,,,,,,,1,,Spain,Woman,Tennis,55-65,Tennis,155671632
Because women participate in all sports,,,1,,,1,,,Spain,Man,Cycling,45-54,Cycling,155671660
It evolved,1,,,,,,,,France,Woman,Athletics,25-34,Athletics,155671751
Because they look good,,,,,,,,,Germany,Man,Tennis,25-34,Tennis,155672520
You can see that on the machine,,,,,,,,,Sweden,Man,Unstated,55-65,,155673513
Because men are allowed to compete with women even though we are born with greater strength.,,,,,,,,,Sweden,Man,Tennis,45-54,Tennis,155686448
"Women are currently experiencing that they are being pushed back in competition. Take Lia Catherine Thomas for example. Women have no chance of winning against Lia, who feels like a woman but was biologically born a man. These cases of transgender people getting into women's sport and women no longer having a chance of winning are increasing. Transgender people should also be involved in professional sport, but as a separate group.",,,1,,,,,,Germany,Woman,Unstated,45-54,,155715029
